Kürzel,Kanton,Ort,id,country
PSI,AG,Würenlingen / PSI,,CH
BUS,AG,Buchs / Aarau,,CH
MOE,AG,Möhlin,,CH
,AG,Buchs-Suhr,06633,CH
LEI,AG,Leibstadt,06666,CH
,AG,Beznau (kkw),06646,CH
,AG,Psi Wuerenlingen / Beznau,06647,CH
BEZ,AG,Beznau,,CH
,AI,Saentis,06680,CH
SAE,AI,Säntis,,CH
,AR,Saint Gallen,06681,CH
,BE,Muehleberg / Stockeren / Allenlüften,06629,CH
MER,BE,Meiringen,,CH
,BE,Bern-Belp,06630,CH
CHA,BE,Chasseral,,CH
BRZ,BE,Brienz,,CH
,BE,Koppigen / Oeschberg,06635,CH
,BE,Langnau I.e. / Bärau,06638,CH
COY,BE,Courtelary,,CH
,BE,Bern-Liebefeld / Rütti,06631,CH
,BE,Grimsel-Hospiz / Räterichsboden,06744,CH
,BE,Chasseral / Nods,06605,CH
,BE,Meiringen  / Unterbach,06614,CH
,BE,Bern / Bern - Belp Airport,LSZB0,CH
ABO,BE,Adelboden,06735,CH
MUB,BE,Mühleberg,,CH
NAP,BE,Napf,06639,CH
LAG,BE,Langnau i.E.,,CH
KOP,BE,Koppigen,,CH
BOL,BE,Boltigen,,CH
INT,BE,Interlaken,06734,CH
THU,BE,Thun,,CH
BER,BE,Bern / Zollikofen,,CH
GRH,BE,Grimsel Hospiz,,CH
FRU,BE,Frutigen,,CH
WYN,BE,Wynau,06643,CH
,BE,Meiringen / Hausen,06637,CH
BAN,BE,Bantiger,,CH
,BE,Muehleberg / Buttenried,06636,CH
RUE,BL,Rünenberg,,CH
,BL,Ruenenberg / Rünenberg,06645,CH
BAS,BL,Basel / Binningen,06601,CH
STC,BS,St. Chrischona,,CH
,BW,Moehlin / Wallbach,06641,CH
VAD,FL,Vaduz,,CH
MLS,FR,Le Moléson,,CH
PLF,FR,Plaffeien,,CH
GRA,FR,Fribourg / Grangeneuve,,CH
MAS,FR,Marsens,,CH
,FR,Fribourg Posieux,06625,CH
,FR,Plaffeien-Oberschrot,06628,CH
,FR,Le Moleson / Moléson,06609,CH
GVE,GE,Genève / Cointrin,,CH
,GE,Geneve-Cointrin,06700,CH
,GL,Glarus / Ennenda,06685,CH
ELM,GL,Elm,06682,CH
GLA,GL,Glarus,,CH
ROB,GR,Poschiavo / Robbia,,CH
,GR,Corvatsch,06791,CH
PMA,GR,Piz Martegnas,,CH
,GR,Robbia,06794,CH
,GR,Samedam-Flugplatz,06792,CH
SBE,GR,S. Bernardino,,CH
BEH,GR,Passo del Bernina,,CH
,GR,Piz Martegnas / Radons,06795,CH
NAS,GR,Naluns / Schlivera,,CH
,GR,Scuol / Vulpera,06798,CH
,GR,Naluns / Schlivera / Ftan,06799,CH
COV,GR,Piz Corvatsch,,CH
,GR,St. Moritz,06790,CH
,GR,Crap Masegn / Siat,06688,CH
SRS,GR,Schiers,,CH
SCU,GR,Scuol,,CH
SIA,GR,Segl-Maria,,CH
,GR,Hinterrhein / Nufenen,06788,CH
,GR,Tinzen / Pignieu,06787,CH
VAB,GR,Valbella,,CH
VLS,GR,Vals,,CH
VIO,GR,Vicosoprano,,CH
WFJ,GR,Weissfluhjoch,,CH
,GR,Chur-Ems,06786,CH
,GR,Davos / Davos Dorf,06784,CH
,GR,San Bernardino,06783,CH
,GR,Weissfluhjoch / Schatzalp,06780,CH
,GR,Buffalora / Il Fuorn,06778,CH
SAM,GR,Samedan,,CH
