Kanton,Koordinaten,id_meteostat,country,wmo,icao,elevation,timezone,id_openweathermap,Ort,Region
,"45.611279,8.84914",,IT,,,,,3181355.0,Busto Arsizio,Varese
,"45.612171,8.84274",,IT,,,,,6537075.0,Busto Arsizio,Varese
,"45.616169,8.75454",,IT,,,,,3177098.0,Ferno,Varese
,"45.6167,8.7333",16066,IT,16066,LIMC,234.0,Europe/Rome,,Milano / Malpensa,Varese
,"45.62537,8.78344",,IT,,,,,3168599.0,Samarate,Varese
,"45.625771,8.91014",,IT,,,,,3173888.0,Marnate,Varese
,"45.631962,8.74979",,IT,,,,,3179973.0,Cascina Costa,Varese
,"45.637058,8.88147",,IT,,,,,3172065.0,Olgiate Olona,Varese
,"45.639671,9.00104",,IT,,,,,6534236.0,Gerenzano,Como
,"45.641171,8.90264",,IT,,,,,6534921.0,Gorla Minore,Varese
,"45.645969,9.07884",,IT,,,,,6534937.0,Cogliate,Como
,"45.647259,7.71701",,IT,,,,,6534904.0,Arnad,Aostatal
,"45.648869,8.76934",,IT,,,,,6534233.0,Cardano al Campo,Varese
,"45.65147,8.88534",,IT,,,,,3166439.0,Solbiate Olona,Varese
,"45.654282,9.12974",,IT,,,,,3182341.0,Barlassina,Como
,"45.654961,7.68571",,IT,,,,,3175403.0,Issogne,Aostatal
,"45.655071,9.04044",,IT,,,,,3168868.0,Rovello Porro,Como
,"45.657269,9.00424",,IT,,,,,6535757.0,Turate,Como
,"45.65818,9.15974",,IT,,,,,3173671.0,Meda,Como
,"45.658772,8.97194",,IT,,,,,3178640.0,Cislago,Como
,"45.66013,9.16028",,IT,,,,,3166574.0,Seveso,Como
,"45.660191,8.79164",,IT,,,,,3176391.0,Gallarate,Varese
,"45.66238,9.08394",,IT,,,,,3173351.0,Misinto,Como
,"45.663971,8.79034",,IT,,,,,6537078.0,Gallarate,Varese
,"45.664471,9.05114",,IT,,,,,3168870.0,Rovellasca,Como
,"45.665871,8.89204",,IT,,,,,3175984.0,Gorla Maggiore,Varese
,"45.666561,7.68911",,IT,,,,,3164519.0,Verres,Aostatal
,"45.66917,8.82674",,IT,,,,,6542310.0,Cassano Magnago,Varese
,"45.66972,8.81996",,IT,,,,,6534235.0,Cassano Magnago,Varese
,"45.669769,8.85994",,IT,,,,,3177279.0,Fagnano Olona-Bergoro,Varese
,"45.670971,8.74343",,IT,,,,,3179808.0,Casorate Sempione,Varese
,"45.672081,9.08424",,IT,,,,,6534942.0,Lazzate,Como
,"45.672169,8.95524",,IT,,,,,3172495.0,Mozzate,Como
,"45.673679,9.23594",,IT,,,,,3180581.0,Carate Brianza,Como
,"45.674179,9.17374",,IT,,,,,6535748.0,Cabiate,Como
