id_openweathermap,name,country,"Location Lat,Lon",region,city
2657885,Zwischbergen,CH,"46.163658,8.11575",Wallis,Gondo
2657886,Zwingen,CH,"47.438251,7.53027",Basel-Landschaft,Zwingen
2657887,Zweisimmen,CH,"46.55452,7.37385",Bern,Zweisimmen
2657889,Zuzwil,CH,"47.474522,9.11196",Sankt Gallen,Zuzwil
2657890,Zuzgen,CH,"47.525082,7.89986",Aargau,Zuzgen
2657891,Bad Zurzach,CH,"47.587639,8.29365",Aargau,Zurzach
2657895,Kanton Zürich,CH,"47.416668,8.666667",Zurich,Lindau
2657896,Zürich,CH,"47.366669,8.55",Zürich,Zürich
2657898,Zuoz,CH,"46.602089,9.95885",Grischun,Zuoz
2657899,Zunzgen,CH,"47.456711,7.80708",Basel-Landschaft,Zunzgen
2657900,Zumikon,CH,"47.331581,8.62271",Zürich,Zumikon
2657901,Zumholz,CH,"46.75462,7.29146",Freiburg,Plaffeien
2657903,Zullwil,CH,"47.392632,7.6005",Solothurn,Zullwil
2657907,Kanton Zug,CH,"47.166672,8.58333",Zug,Menzingen
2657908,Zug,CH,"47.172421,8.51744",Zug,Zug
2657910,Zuchwil,CH,"47.201729,7.56649",Solothurn,Zuchwil
2657912,Zollikon,CH,"47.340191,8.57407",Zürich,Zollikon
2657913,Zollikofen,CH,"46.99905,7.45809",Bern,Zollikofen
2657915,Zofingen,CH,"47.287788,7.94586",Aargau,Zofingen
2657916,Zizers,CH,"46.935749,9.56491",Graubünden,Zizers
2657918,Zinal,CH,"46.135979,7.62636",Wallis,Anniviers
2657919,Zimmerwald,CH,"46.880909,7.47712",Bern,Wald
2657920,Zillis,CH,"46.634102,9.4423",Graubünden,Zillis-Reischen
2657921,Zihlschlacht,CH,"47.52047,9.25738",Thurgau,Zihlschlacht-Sitterdorf
2657926,Zernez,CH,"46.700871,10.09461",Graubünden,Zernez
2657928,Zermatt,CH,"46.021259,7.74912",Wallis,Zermatt
2657929,Zeneggen,CH,"46.273411,7.86535",Wallis,Zeneggen
2657931,Zell,CH,"47.13673,7.92495",Kanton Luzern,Zell
2657934,Zeglingen,CH,"47.416309,7.90477",Basel-Landschaft,Zeglingen
2657935,Zäziwil,CH,"46.901958,7.66185",Bern,Zäziwil
2657939,Yvorne,CH,"46.331219,6.95872",Vaud,Yvorne
2657940,Yvonand,CH,"46.800339,6.74249",Vaud,Yvonand
2657941,Yverdon-les-Bains,CH,"46.778519,6.64115",Vaud,Yverdon-les-Bains
2657942,Yens,CH,"46.519009,6.4185",Vaud,Yens
2657943,Wyssachen,CH,"47.07851,7.82922",Bern,Wyssachen
2657944,Wynigen,CH,"47.105862,7.66681",Bern,Wynigen
2657945,Wynau,CH,"47.255699,7.81626",Bern,Wynau
2657947,Würenlos,CH,"47.442081,8.36439",Aargau,Würenlos
2657948,Würenlingen,CH,"47.533562,8.25666",Aargau,Würenlingen
2657953,Worben,CH,"47.102791,7.29518",Bern,Worben
2657954,Worb,CH,"46.92984,7.56306",Bern,Worb
2657955,Wollerau,CH,"47.194778,8.71903",Schwyz,Wollerau
2657956,Wolhusen,CH,"47.05983,8.07389",Kanton Luzern,Wolhusen
2657957,Wolfwil,CH,"47.268188,7.78967",Solothurn,Wolfwil
2657959,Wölflinswil,CH,"47.458111,7.99965",Aargau,Wölflinswil
2657960,Wolfgang,CH,"46.833439,9.8537",Graubünden,Davos
2657961,Wolfenschiessen,CH,"46.903221,8.39423",Nidwalden,Wolfenschiessen
2657963,Wohlen,CH,"47.35236,8.27877",Aargau,Wohlen
2657964,Wohlen,CH,"46.97118,7.35685",Bern,Wohlen bei Bern
2657965,Witzwil,CH,"46.987919,7.06026",Bern,Ins
2657967,Wittnau,CH,"47.481392,7.97577",Aargau,Wittnau
2657968,Wittenbach,CH,"47.463081,9.37761",Sankt Gallen,Wittenbach
2657969,Zürich (Kreis 7) / Witikon,CH,"47.35751,8.59105",Zürich,Zürich
2657970,Winterthur,CH,"47.5,8.75",Zürich,Winterthur
2657973,Winkel,CH,"47.013241,8.31168",Kanton Luzern,Horw
2657974,Winikon,CH,"47.238602,8.05063",Kanton Luzern,Triengen
2657976,Windisch,CH,"47.478989,8.21842",Aargau,Windisch
2657977,Wimmis,CH,"46.675869,7.63972",Bern,Wimmis
2657978,Willisau,CH,"47.12183,7.99418",Kanton Luzern,Willisau
2657979,Willigen,CH,"46.73333,8.18333",Bern,Meiringen
2657980,Wileroltigen,CH,"46.97094,7.23922",Bern,Wileroltigen
