Station Category,Station Type,ID Hash,WMO ID,Alternative IDs,Ort,"Location Lat,Lon",elevation,id_meteomatics
SYNOP,SYNO,7363851,67970.0,BEH,Passo del Bernina,"46.4092,10.0196",2260.0,"46.4092,10.0196"
SYNOP,SYNO,15890694,,WIT,Wittnau,"47.4804,7.96854",463.0,"47.4804,7.96854"
SYNOP,SYNO,20701173,,VSBAS,Baltschiedertal,"46.3423,7.87932",1318.0,"46.3423,7.87932"
SYNOP,SYNO,28367291,66170.0,BRL,La Brévine,"46.9838,6.6103",1050.0,"46.9838,6.6103"
SYNOP,SYNO,30633461,,ABG,L'Abergement,"46.7562,6.49021",647.0,"46.7562,6.49021"
SYNOP,SYNO,45286347,,KUB,Küblis,"46.9123,9.77751",839.0,"46.9123,9.77751"
SYNOP,SYNO,64150975,67980.0,SCU,Scuol,"46.7933,10.2833",1304.0,"46.7933,10.2833"
SYNOP,SYNO,75006491,,TEU,"Teufen, AR","47.3879,9.39607",834.0,"47.3879,9.39607"
SYNOP,SYNO,77175386,,ZWE,Zweisimmen,"46.5506,7.38478",1015.0,"46.5506,7.38478"
SYNOP,SYNO,79304738,,ROG,Rossberg,"47.0737,8.54776",1129.0,"47.0737,8.54776"
SYNOP,SYNO,102105009,,LTB,Lauterbrunnen,"46.5929,7.90646",815.0,"46.5929,7.90646"
SYNOP,SYNO,128182596,66030.0,VEV,Vevey / Corseaux,"46.4712,6.81506",405.0,"46.4712,6.81506"
SYNOP,SYNO,133829985,,SAP,Safien Platz,"46.6787,9.31508",1296.0,"46.6787,9.31508"
SYNOP,SYNO,139379953,66480.0,EGO,Egolzwil,"47.1794,8.00476",522.0,"47.1794,8.00476"
SYNOP,SYNO,145809835,,SCE,Schwarzenegg,"46.8055,7.72275",902.0,"46.8055,7.72275"
SYNOP,SYNO,152145768,,VSERG,Ergisch,"46.293,7.71629",1133.0,"46.293,7.71629"
SYNOP,SYNO,152816731,66080.0,CHM,Chaumont,"47.0492,6.97882",1136.0,"47.0492,6.97882"
SYNOP,SYNO,161458395,66270.0,CHD,Château-d'Oex,"46.4798,7.13966",1028.0,"46.4798,7.13966"
SYNOP,SYNO,181129371,67890.0,ILZ,Ilanz,"46.775,9.21535",698.0,"46.775,9.21535"
SYNOP,SYNO,186335125,,LSN,Lausanne,"46.5278,6.64327",601.0,"46.5278,6.64327"
SYNOP,SYNO,189358764,,COP,Courtepin,"46.8601,7.12758",565.0,"46.8601,7.12758"
SYNOP,SYNO,199447357,67100.0,COY,Courtelary,"47.1808,7.09066",695.0,"47.1808,7.09066"
SYNOP,SYNO,204944500,,TIC,Tiefencastel,"46.6636,9.57447",897.0,"46.6636,9.57447"
SYNOP,SYNO,217511432,,KAS,Kandersteg,"46.4938,7.67717",1178.0,"46.4938,7.67717"
SYNOP,SYNO,218669518,,BUE,Bülach,"47.5196,8.52772",403.0,"47.5196,8.52772"
SYNOP,SYNO,219551021,,MOW,Möriken-Wildegg,"47.4205,8.17228",405.0,"47.4205,8.17228"
SYNOP,SYNO,220307910,67330.0,BOL,Boltigen,"46.6235,7.38421",820.0,"46.6235,7.38421"
SYNOP,SYNO,222972755,,JON,Jona,"47.2239,8.84829",410.0,"47.2239,8.84829"
SYNOP,SYNO,238116038,66410.0,MOE,Möhlin,"47.5722,7.87791",343.0,"47.5722,7.87791"
SYNOP,SYNO,240363657,,MOU,Moutier,"47.2722,7.37176",579.0,"47.2722,7.37176"
SYNOP,SYNO,258458887,,AGATT,Attelwil,"47.2652,8.05052",475.0,"47.2652,8.05052"
SYNOP,SYNO,266334247,,SCD,Scudellate,"45.9218,9.04027",920.0,"45.9218,9.04027"
SYNOP,SYNO,267963718,,BAU,Baulmes,"46.7895,6.52258",642.0,"46.7895,6.52258"
SYNOP,SYNO,268175074,,MUS,Müstair,"46.6354,10.4585",1248.0,"46.6354,10.4585"
SYNOP,SYNO,268977341,67300.0,JUN,Jungfraujoch,"46.5476,7.98544",3571.0,"46.5476,7.98544"
SYNOP,SYNO,274450664,67700.0,LUG,Lugano,"46.0042,8.96032",273.0,"46.0042,8.96032"
SYNOP,SYNO,280622545,67620.0,MAG,Magadino / Cadenazzo,"46.16,8.93367",203.0,"46.16,8.93367"
SYNOP,SYNO,291283162,,MTO,Montenol,"47.3539,7.15292",694.0,"47.3539,7.15292"
SYNOP,SYNO,298944938,,CHY,Chavornay,"46.7024,6.548",439.0,"46.7024,6.548"
SYNOP,SYNO,321722842,66020.0,DEM,Delémont,"47.3517,7.34957",439.0,"47.3517,7.34957"
SYNOP,SYNO,340469792,67590.0,CIM,Cimetta,"46.2005,8.79165",1661.0,"46.2005,8.79165"
SYNOP,SYNO,362599930,,KLA,Klosters,"46.8651,9.8897",1186.0,"46.8651,9.8897"
SYNOP,SYNO,379738627,67540.0,MTR,Matro,"46.4101,8.92474",2171.0,"46.4101,8.92474"
SYNOP,SYNO,395344738,,ECH,Echallens,"46.6461,6.62176",602.0,"46.6461,6.62176"
SYNOP,SYNO,400101401,,BRW,Braunwald,"46.9375,8.98765",1299.0,"46.9375,8.98765"
SYNOP,SYNO,410152761,,AUB,L' Auberson,"46.8235,6.44069",1096.0,"46.8235,6.44069"
SYNOP,SYNO,429549579,,VSTSN,Tsanfleuron,"46.3207,7.30179",2052.0,"46.3207,7.30179"
SYNOP,SYNO,447849380,,WDO,Wahlendorf,"47.0045,7.33673",760.0,"47.0045,7.33673"
SYNOP,SYNO,449368349,,EFF,Effretikon,"47.4388,8.70251",478.0,"47.4388,8.70251"
SYNOP,SYNO,468979184,,SAX,Salez / Saxerriet,"47.233,9.49309",436.0,"47.233,9.49309"
SYNOP,SYNO,479023104,,JUS,Jussy,"46.2285,6.2579",466.0,"46.2285,6.2579"
SYNOP,SYNO,480808748,66260.0,GOE,Gösgen,"47.3631,7.97373",380.0,"47.3631,7.97373"
SYNOP,SYNO,486204682,66130.0,FRU,Frutigen,"46.599,7.65754",756.0,"46.599,7.65754"
SYNOP,SYNO,499343180,,HTW,Herbetswil,"47.2968,7.58792",544.0,"47.2968,7.58792"
SYNOP,SYNO,510329138,67390.0,EGH,Eggishorn,"46.4265,8.09273",2892.0,"46.4265,8.09273"
SYNOP,SYNO,510433518,,SUS,Susch,"46.7549,10.083",1416.0,"46.7549,10.083"
SYNOP,SYNO,525182906,,STU,St. Urban,"47.2149,7.83954",488.0,"47.2149,7.83954"
SYNOP,SYNO,527557409,,IST,Isenthal,"46.9106,8.56045",778.0,"46.9106,8.56045"
SYNOP,SYNO,528712075,66230.0,HAI,Salen-Reutenen,"47.6512,9.02391",719.0,"47.6512,9.02391"
SYNOP,SYNO,531457788,,MGL,Magglingen,"47.1408,7.21502",883.0,"47.1408,7.21502"
SYNOP,SYNO,549916773,,STF,Grossdietwil / Stampfi,"47.1512,7.88536",710.0,"47.1512,7.88536"
SYNOP,SYNO,554719417,67050.0,CGI,Nyon / Changins,"46.401,6.22772",458.0,"46.401,6.22772"
SYNOP,SYNO,572450133,,GRY,Gryon,"46.2769,7.06915",1146.0,"46.2769,7.06915"
SYNOP,SYNO,573913884,,BOS,Bosco/Gurin,"46.3168,8.48871",1486.0,"46.3168,8.48871"
