id_meteostat,Ort,country,wmo,icao,elevation,timezone,Koordinaten,Region
06601,Basel / Binningen,CH,06601,,316.0,Europe/Zurich,"47.5411,7.5836",Basel
06604,Neuchatel,CH,06604,LSGN,485.0,Europe/Zurich,"47.0,6.95",Bienne-Neuchâtel
06605,Chasseral / Nods,CH,06605,,1599.0,Europe/Zurich,"47.1317,7.0544",Vallon de Saint-Imier
06606,Cressier / Le Landeron,CH,06606,,431.0,Europe/Zurich,"47.0475,7.0592",Bienne-Neuchâtel
06609,Le Moleson / Moléson,CH,06609,,1974.0,Europe/Zurich,"46.5461,7.0178",Jogne-Haute-Gruyère
06610,Payerne,CH,06610,LSMP,490.0,Europe/Zurich,"46.8167,6.95",Broye
06612,La Chaux-De-Fonds,CH,06612,,1018.0,Europe/Zurich,"47.0833,6.8",La Chaux-de-Fonds - Le Locle
06613,Emmen,CH,06613,LSME,427.0,Europe/Zurich,"47.0903,8.3028",Emmen-Hochdorf
06614,Meiringen  / Unterbach,CH,06614,LSMM,577.0,Europe/Zurich,"46.74,8.1061",Brienz-Interlaken
06616,Fahy,CH,06616,,596.0,Europe/Zurich,"47.4333,6.95",Ajoie
06619,Fretaz La / Vugelles,CH,06619,,1205.0,Europe/Zurich,"46.8406,6.5764",Yverdon-Bevaix
06620,Schaffhausen / Neuhausen,CH,06620,,438.0,Europe/Zurich,"47.6897,8.62",Schaffhausen
06621,Guttingen / Güttingen,CH,06621,,440.0,Europe/Zurich,"47.6017,9.2794",Amriswil
06623,Salen-reutenen,CH,06623,,718.0,Europe/Zurich,"47.6511,9.0239",Steckborn-Müllheim
06624,Hallau,CH,06624,,419.0,Europe/Zurich,"47.6972,8.4706",Schaffhausen
06625,Fribourg Posieux,CH,06625,,646.0,Europe/Zurich,"46.7714,7.1136",Basse-Gruyère
06626,Goesgen / Däniken,CH,06626,,380.0,Europe/Zurich,"47.3631,7.9736",Olten-Gösgen
06628,Plaffeien-Oberschrot,CH,06628,,1042.0,Europe/Zurich,"46.75,7.2667",Wahlern-Plaffeien
06629,Muehleberg / Stockeren / Allenlüften,CH,06629,,775.0,Europe/Zurich,"46.9522,7.2831",Berne-Sense
06630,Bern-Belp,CH,06630,,510.0,Europe/Zurich,"46.9167,7.5",Thun-Belp
06631,Bern-Liebefeld / Rütti,CH,06631,,553.0,Europe/Zurich,"46.9908,7.4639",Burgdorf-Limpachtal
06632,Grenchen,CH,06632,LSZG,430.0,Europe/Zurich,"47.1667,7.4",Lyss-Grenchen
06633,Buchs-Suhr,CH,06633,,387.0,Europe/Zurich,"47.3844,8.0794",Aarau-Lenzburg
06635,Koppigen / Oeschberg,CH,06635,,484.0,Europe/Zurich,"47.1189,7.6056",Burgdorf-Limpachtal
06636,Muehleberg / Buttenried,CH,06636,,480.0,Europe/Zurich,"46.9733,7.2781",Berne-Sense
06637,Meiringen / Hausen,CH,06637,,589.0,Europe/Zurich,"46.7322,8.1692",Meiringen-Gadmertal
06638,Langnau I.e. / Bärau,CH,06638,,745.0,Europe/Zurich,"46.9397,7.8064",Langnau-Eggiwil
06639,Napf,CH,06639,,1407.0,Europe/Zurich,"47.0,7.9333",Entlebuch
06641,Moehlin / Wallbach,CH,06641,,344.0,Europe/Zurich,"47.5722,7.8778",Rheinfelden
06643,Wynau,CH,06643,,422.0,Europe/Zurich,"47.25,7.7833",Solothurn-Rothrist
06645,Ruenenberg / Rünenberg,CH,06645,,611.0,Europe/Zurich,"47.4344,7.8794",Oberes Baselbiet
06646,Beznau (kkw),CH,06646,,325.0,Europe/Zurich,"47.5572,8.2333",Frick-Leibstadt
06647,Psi Wuerenlingen / Beznau,CH,06647,,334.0,Europe/Zurich,"47.5383,8.2294",Frick-Leibstadt
06648,Egolzwil / Wauwil,CH,06648,,521.0,Europe/Zurich,"47.1794,8.0047",Huttwil-Willisau
06650,Luzern / Kriens,CH,06650,,454.0,Europe/Zurich,"47.0364,8.3008",Luzern-Alpnach
