id_openweathermap,Ort,country,Koordinaten
2657885,Zwischbergen,CH,"46.163658,8.11575"
2657886,Zwingen,CH,"47.438251,7.53027"
2657887,Zweisimmen,CH,"46.55452,7.37385"
2657889,Zuzwil,CH,"47.474522,9.11196"
2657890,Zuzgen,CH,"47.525082,7.89986"
2657891,Bad Zurzach,CH,"47.587639,8.29365"
2657895,Kanton Zürich,CH,"47.416668,8.666667"
2657896,Zürich,CH,"47.366669,8.55"
2657898,Zuoz,CH,"46.602089,9.95885"
2657899,Zunzgen,CH,"47.456711,7.80708"
2657900,Zumikon,CH,"47.331581,8.62271"
2657901,Zumholz,CH,"46.75462,7.29146"
2657903,Zullwil,CH,"47.392632,7.6005"
2657907,Kanton Zug,CH,"47.166672,8.58333"
2657908,Zug,CH,"47.172421,8.51744"
2657910,Zuchwil,CH,"47.201729,7.56649"
2657912,Zollikon,CH,"47.340191,8.57407"
2657913,Zollikofen,CH,"46.99905,7.45809"
2657915,Zofingen,CH,"47.287788,7.94586"
2657916,Zizers,CH,"46.935749,9.56491"
2657918,Zinal,CH,"46.135979,7.62636"
2657919,Zimmerwald,CH,"46.880909,7.47712"
2657920,Zillis,CH,"46.634102,9.4423"
2657921,Zihlschlacht,CH,"47.52047,9.25738"
2657926,Zernez,CH,"46.700871,10.09461"
2657928,Zermatt,CH,"46.021259,7.74912"
2657929,Zeneggen,CH,"46.273411,7.86535"
2657931,Zell,CH,"47.13673,7.92495"
2657934,Zeglingen,CH,"47.416309,7.90477"
2657935,Zäziwil,CH,"46.901958,7.66185"
2657939,Yvorne,CH,"46.331219,6.95872"
2657940,Yvonand,CH,"46.800339,6.74249"
2657941,Yverdon-les-Bains,CH,"46.778519,6.64115"
2657942,Yens,CH,"46.519009,6.4185"
2657943,Wyssachen,CH,"47.07851,7.82922"
2657944,Wynigen,CH,"47.105862,7.66681"
2657945,Wynau,CH,"47.255699,7.81626"
2657947,Würenlos,CH,"47.442081,8.36439"
2657948,Würenlingen,CH,"47.533562,8.25666"
2657953,Worben,CH,"47.102791,7.29518"
2657954,Worb,CH,"46.92984,7.56306"
2657955,Wollerau,CH,"47.194778,8.71903"
2657956,Wolhusen,CH,"47.05983,8.07389"
2657957,Wolfwil,CH,"47.268188,7.78967"
2657959,Wölflinswil,CH,"47.458111,7.99965"
2657960,Wolfgang,CH,"46.833439,9.8537"
2657961,Wolfenschiessen,CH,"46.903221,8.39423"
2657963,Wohlen,CH,"47.35236,8.27877"
2657964,Wohlen,CH,"46.97118,7.35685"
2657965,Witzwil,CH,"46.987919,7.06026"
2657967,Wittnau,CH,"47.481392,7.97577"
2657968,Wittenbach,CH,"47.463081,9.37761"
2657969,Zürich (Kreis 7) / Witikon,CH,"47.35751,8.59105"
2657970,Winterthur,CH,"47.5,8.75"
2657973,Winkel,CH,"47.013241,8.31168"
2657974,Winikon,CH,"47.238602,8.05063"
2657976,Windisch,CH,"47.478989,8.21842"
2657977,Wimmis,CH,"46.675869,7.63972"
2657978,Willisau,CH,"47.12183,7.99418"
2657979,Willigen,CH,"46.73333,8.18333"
2657980,Wileroltigen,CH,"46.97094,7.23922"
2657988,Wildhaus,CH,"47.201481,9.35488"
2657989,Wilderswil,CH,"46.663689,7.86175"
2657990,Wildegg,CH,"47.383331,8.16667"
2657992,Wilchingen,CH,"47.667461,8.46774"
2657993,Wila,CH,"47.419281,8.84524"
2657996,Wil,CH,"47.461521,9.04552"
2657997,Wikon,CH,"47.26339,7.96801"
2657998,Wigoltingen,CH,"47.596951,9.0314"
2658001,Wiggen,CH,"46.896278,7.90876"
2658004,Wiesendangen / Wiesendangen (Dorf),CH,"47.521702,8.78967"
2658006,Wiedlisbach,CH,"47.251942,7.6461"
2658007,Zürich (Kreis 3) / Alt-Wiedikon,CH,"47.362011,8.51497"
2658010,Wetzikon,CH,"47.326401,8.79779"
2658011,Wettingen,CH,"47.470501,8.31636"
2658014,Werthenstein,CH,"47.055069,8.10661"
2658017,Werdhölzli,CH,"47.400002,8.5"
2658019,Wengi,CH,"47.083858,7.39926"
2658020,Wengen,CH,"46.605419,7.92171"
2658021,Welschenrohr,CH,"47.280289,7.52634"
2658022,Weisstannen,CH,"46.991081,9.34258"
2658024,Weisslingen,CH,"47.43063,8.76787"
2658032,Weissenburg,CH,"46.658218,7.47604"
2658035,Weiningen,CH,"47.420219,8.43644"
2658036,Weinfelden,CH,"47.566669,9.1"
2658038,Weggis,CH,"47.032082,8.43219"
2658039,Wegenstetten,CH,"47.49794,7.93159"
2658040,Weesen,CH,"47.134472,9.09644"
2658041,Wauwil,CH,"47.18457,8.021"
2658042,Wattwil,CH,"47.30225,9.08757"
2658043,Wattenwil,CH,"46.76973,7.50835"
2658046,Wasserauen,CH,"47.283421,9.42575"
2658047,Wassen,CH,"46.706509,8.59881"
2658049,Wartau,CH,"47.083328,9.48333"
2658051,Wängi,CH,"47.497608,8.95356"
2658052,Wangen an der Aare,CH,"47.231998,7.65448"
2658053,Wangen,CH,"47.343651,7.86982"
2658054,Wangen,CH,"47.190819,8.89498"
2658055,Walzenhausen,CH,"47.450069,9.60495"
2658057,Walterswil,CH,"47.112202,7.77798"
2658058,Waltenschwil,CH,"47.33493,8.30344"
2658059,Waltensburg,CH,"46.773682,9.1085"
2658060,Wallisellen,CH,"47.414989,8.59672"
2658061,Walenstadt,CH,"47.124111,9.31194"
2658062,Wallenried,CH,"46.873611,7.11577"
2658063,Wallenbuch,CH,"46.929482,7.22538"
2658064,Walkringen,CH,"46.948559,7.6204"
2658066,Waldstatt,CH,"47.35627,9.28345"
2658067,Waldkirch,CH,"47.46859,9.28605"
2658068,Wäldi,CH,"47.634239,9.09483"
2658071,Waldenburg,CH,"47.383331,7.75"
2658073,Wald,CH,"47.275951,8.91405"
2658074,Wald,CH,"46.816669,7.85"
2658075,Walchwil,CH,"47.101688,8.51693"
2658076,Wahlern,CH,"46.82806,7.35318"
2658077,Wahlen,CH,"47.40226,7.51511"
2658078,Wahlen,CH,"46.75087,7.56504"
2658081,Wagenhausen,CH,"47.659691,8.8479"
2658082,Wädenswil,CH,"47.22683,8.6687"
2658083,Wachseldorn,CH,"46.822048,7.72507"
2658088,Vuisternens-en-Ogoz,CH,"46.708149,7.05398"
2658090,Vuadens,CH,"46.61731,7.02052"
2658093,Vouvry,CH,"46.33625,6.89053"
2658096,Vorderthal,CH,"47.120918,8.90185"
2658103,Vordemwald,CH,"47.275848,7.90114"
2658105,Volketswil / Volketswil (Dorf),CH,"47.39016,8.69085"
2658107,Vitznau,CH,"47.010139,8.4842"
2658110,Visperterminen,CH,"46.258991,7.90192"
2658112,Visp,CH,"46.293701,7.88149"
2658115,Vionnaz,CH,"46.311008,6.90062"
2658116,Vinzel,CH,"46.448269,6.27817"
2658117,Vilters,CH,"47.026138,9.45322"
2658118,Villnachern,CH,"47.470982,8.15975"
2658119,Villmergen,CH,"47.349171,8.24583"
2658120,Villigen,CH,"47.526821,8.21486"
2658122,Villeret,CH,"47.158379,7.01889"
2658123,Villeneuve,CH,"46.398689,6.92654"
2658124,Villaz-Saint-Pierre,CH,"46.720741,6.95638"
2658125,Villarvolard,CH,"46.645279,7.10736"
2658126,Villars-sur-Ollon,CH,"46.298321,7.05631"
2658127,Villars-sur-Marly,CH,"46.774849,7.18581"
2658128,Villars-sur-Glâne,CH,"46.790539,7.11717"
2658129,Villars-le-Grand,CH,"46.904881,6.98999"
2658130,Villarsiviriaux,CH,"46.699379,7.01002"
2658131,Villarsel-le-Gibloux,CH,"46.714981,7.0168"
2658134,Vignogn,CH,"46.699371,9.15632"
2658135,Viganello,CH,"46.01342,8.96879"
2658137,Vicques,CH,"47.351021,7.40266"
2658138,Vicosoprano,CH,"46.35091,9.62148"
2658141,Veytaux,CH,"46.421291,6.93048"
2658142,Veysonnaz,CH,"46.19521,7.33556"
2658143,Veyrier,CH,"46.166988,6.18436"
2658144,Vex,CH,"46.200001,7.4"
2658145,Vevey,CH,"46.461159,6.84328"
2658146,Vétroz,CH,"46.22414,7.28903"
2658151,Versoix,CH,"46.283329,6.16667"
2658152,Verscio,CH,"46.190762,8.72772"
2658153,Versam,CH,"46.792049,9.3378"
2658154,Vernier,CH,"46.217018,6.08497"
2658157,Vernayaz,CH,"46.136669,7.03906"
2658158,Vernamiège,CH,"46.211079,7.43069"
2658160,Vermes,CH,"47.329552,7.47523"
2658161,Vermala,CH,"46.317242,7.48844"
2658166,Vercorin,CH,"46.25,7.51667"
2658168,Verbier,CH,"46.098721,7.21621"
2658170,Vennes,CH,"46.539848,6.65376"
2658171,Vendlincourt,CH,"47.451931,7.14692"
2658172,Veltheim (Kreis 5),CH,"47.514191,8.717"
2658173,Veltheim,CH,"47.437962,8.14722"
2658176,Vechigen,CH,"46.946159,7.56065"
2658177,Vaulruz,CH,"46.621181,6.98727"
2658179,Vaulion,CH,"46.689129,6.38941"
2658181,Vauderens,CH,"46.622829,6.85066"
2658182,Canton de Vaud,CH,"46.666672,6.5"
2658183,Vättis,CH,"46.909698,9.44275"
2658185,Varen,CH,"46.3186,7.60743"
2658188,Vandœuvres,CH,"46.22179,6.20285"
2658189,Valzeina,CH,"46.950199,9.60268"
2658191,Vals Platz,CH,"46.61647,9.18025"
2658194,Vallorbe,CH,"46.712559,6.37894"
2658196,Vallemaggia District,CH,"46.349998,8.58333"
2658197,Valens,CH,"46.966579,9.47705"
2658198,Valendas,CH,"46.7878,9.28256"
2658199,Val d'Illiez,CH,"46.203602,6.891"
2658201,Valbella,CH,"46.400639,9.1306"
2658205,Canton du Valais,CH,"46.229252,7.45972"
2658209,Uzwil,CH,"47.438129,9.13922"
2658210,Uznach,CH,"47.224209,8.98263"
2658211,Utzenstorf,CH,"47.12981,7.55838"
2658212,Uttwil,CH,"47.583599,9.3424"
2658213,Uttigen,CH,"46.79435,7.57789"
2658216,Uster,CH,"47.34713,8.72091"
2658217,Urtenen,CH,"47.026669,7.50081"
2658219,Ursenbach,CH,"47.136959,7.77193"
2658223,Urnäsch,CH,"47.316689,9.2825"
2658226,Kanton Uri,CH,"46.833328,8.75"
2658229,Unter-Wohlen,CH,"46.970821,7.35526"
2658230,Wetzikon / Unter-Wetzikon,CH,"47.316368,8.79369"
2658231,Unterwasser,CH,"47.196899,9.30666"
2658232,Untervaz,CH,"46.927502,9.53422"
2658233,Unterterzen,CH,"47.112782,9.25306"
2658237,Untersiggenthal,CH,"47.502129,8.25554"
2658240,Unterseen,CH,"46.685299,7.84722"
2658243,Unterschächen,CH,"46.862808,8.76923"
2658244,Unterlunkhofen,CH,"47.321201,8.38102"
2658248,Unterkulm,CH,"47.309978,8.11371"
2658249,Illnau / Unter-Illnau,CH,"47.407871,8.72607"
2658250,Unteriberg,CH,"47.049999,8.78333"
2658251,Unter-Gomerkinden,CH,"46.98822,7.64869"
2658252,Untererlinsbach,CH,"47.400002,8.0"
2658253,Unterengstringen,CH,"47.41396,8.44761"
2658256,Ehrendingen,CH,"47.502499,8.34729"
2658259,Unterbilten,CH,"47.15163,9.01963"
2658262,Unterbach,CH,"46.737389,8.11006"
2658264,Unterägeri,CH,"47.13644,8.5853"
2658266,Undervelier,CH,"47.303082,7.22274"
2658268,Ulrichen,CH,"46.506409,8.30475"
2658269,Uitikon,CH,"47.36911,8.45699"
2658271,Uhwiesen,CH,"47.670738,8.63542"
2658272,Ufhusen,CH,"47.11647,7.89624"
2658273,Uffikon,CH,"47.21096,8.01808"
2658276,Uetikon,CH,"47.264408,8.67925"
2658277,Uetendorf,CH,"46.773918,7.57251"
2658279,Uerkheim,CH,"47.302891,8.02371"
2658280,Uerikon,CH,"47.236721,8.7573"
2658281,Ueberstorf,CH,"46.865871,7.30998"
2658283,Udligenswil,CH,"47.09005,8.40335"
2658284,Twann,CH,"47.0942,7.15699"
2658287,Turtmann,CH,"46.301479,7.70195"
2658288,Turgi,CH,"47.492008,8.25412"
2658289,Turbenthal,CH,"47.436329,8.84629"
2658290,Turahus,CH,"46.633331,9.28333"
2658293,Tuggen,CH,"47.202911,8.94366"
2658296,Tschiertschen,CH,"46.817661,9.60638"
2658299,Trun,CH,"46.74292,8.98716"
2658300,Trun,CH,"46.76667,8.96667"
2658302,Trüllikon,CH,"47.635391,8.68919"
2658303,Trubschachen,CH,"46.922279,7.8452"
2658304,Trübbach,CH,"47.073399,9.47828"
2658305,Trub,CH,"46.941681,7.87996"
2658306,Troistorrents,CH,"46.228901,6.91589"
2658307,Trogen,CH,"47.407822,9.46498"
2658310,Trimstein,CH,"46.904812,7.5835"
2658311,Trimmis,CH,"46.899071,9.56236"
2658312,Trimbach,CH,"47.365601,7.8868"
2658315,Triengen,CH,"47.233749,8.07729"
2658317,Treyvaux,CH,"46.727451,7.13772"
2658318,Treyfayes,CH,"46.65406,6.95327"
2658319,Trey,CH,"46.770199,6.92645"
2658320,Tretsch,CH,"46.966671,9.55"
2658324,Trélex,CH,"46.415379,6.20813"
2658328,Travers,CH,"46.940182,6.67595"
2658329,Trasadingen,CH,"47.668621,8.42995"
2658331,Tramelan,CH,"47.22393,7.0995"
2658332,Trachselwald,CH,"47.016991,7.73639"
2658339,Tössriederen,CH,"47.564701,8.54465"
2658340,Tössegg,CH,"47.437092,8.83802"
2658344,Töss (Kreis 4),CH,"47.478901,8.70215"
2658351,Tomils,CH,"46.761768,9.44239"
2658353,Toffen,CH,"46.86031,7.49216"
2658355,Tobel,CH,"47.508041,9.03025"
2658356,Titterten,CH,"47.40213,7.71617"
2658365,Tiefencastel,CH,"46.660141,9.57883"
2658370,Ticino,CH,"46.25,8.58333"
2658371,Thusis,CH,"46.697239,9.43938"
2658372,Kanton Thurgau,CH,"47.583328,9.25"
2658376,Thundorf,CH,"47.54594,8.96358"
2658377,Thun,CH,"46.751179,7.62166"
2658378,Thörishaus,CH,"46.893871,7.35131"
2658379,Thorberg,CH,"47.001289,7.56544"
2658380,Bezirk Thierstein,CH,"47.383331,7.55"
2658381,Thierrens,CH,"46.703289,6.75624"
2658382,Thierachern,CH,"46.753189,7.57442"
2658386,Therwil,CH,"47.501171,7.55286"
2658387,Thayngen,CH,"47.747169,8.70724"
2658388,Thalwil,CH,"47.291752,8.56351"
2658394,Teuffenthal,CH,"46.767658,7.71142"
2658395,Teufenthal,CH,"47.328629,8.12074"
2658396,Freienstein-Teufen,CH,"47.549999,8.55"
2658397,Teufen,CH,"47.3908,9.38644"
2658398,Tesserete,CH,"46.068081,8.9658"
2658402,Termen,CH,"46.32832,8.02221"
2658406,Bogn Tenigia,CH,"46.690319,8.95701"
2658410,Tegerfelden,CH,"47.55809,8.28914"
2658411,Tecknau,CH,"47.451321,7.88399"
2658415,Tavannes,CH,"47.220791,7.19759"
2658417,Täuffelen,CH,"47.065239,7.19704"
2658418,Täsch,CH,"46.066929,7.77826"
2658421,Tarasp,CH,"46.783329,10.25"
2658424,Tann,CH,"47.268978,8.85024"
2658426,Tanay,CH,"46.345032,6.83041"
2658427,Tamins,CH,"46.829639,9.40648"
2658431,Tagliada,CH,"46.206619,9.06024"
2658432,Tägerwilen,CH,"47.655941,9.13167"
2658433,Tafers,CH,"46.814831,7.21852"
2658434,Switzerland,CH,"47.000156,8.014269"
2658440,Sursee,CH,"47.166672,8.1"
2658448,Sundlauenen,CH,"46.686272,7.79312"
2658449,Sumiswald,CH,"47.02747,7.74526"
2658452,Sulz,CH,"47.536018,8.09628"
2658455,Sulgen,CH,"47.537701,9.18497"
2658457,Suhr,CH,"47.371719,8.07967"
2658462,Suchy,CH,"46.723511,6.59935"
2658464,Subingen,CH,"47.198521,7.61949"
2658468,Stuckishaus,CH,"46.973061,7.43616"
2658469,Strengelbach,CH,"47.279171,7.92895"
2658472,Stössen,CH,"46.783329,7.4"
2658474,Stoos,CH,"46.976742,8.66323"
2658477,Stilli,CH,"47.5172,8.23159"
2658478,Stettlen,CH,"46.958351,7.52508"
2658479,Stettfurt,CH,"47.52446,8.95509"
2658480,Sternenberg,CH,"47.383331,8.91667"
2658483,Steinhausen,CH,"47.195099,8.48581"
2658484,Steinhaus,CH,"46.833881,7.34219"
2658486,Steinerberg,CH,"47.052059,8.58399"
2658488,Steinen,CH,"47.049759,8.61214"
2658489,Stein am Rhein,CH,"47.659328,8.85964"
2658490,Stein,CH,"47.544029,7.95256"
2658494,Steffisburg,CH,"46.778069,7.63249"
2658495,Steckborn,CH,"47.666672,8.98333"
2658496,Stechelberg,CH,"46.543129,7.90149"
2658498,Staufen,CH,"47.38372,8.16606"
2658502,Stansstad,CH,"46.976799,8.33553"
2658504,Stans,CH,"46.95845,8.366"
2658505,Stampa,CH,"46.333328,9.56667"
2658508,Stallen,CH,"47.520679,7.56443"
2658509,Staldenried,CH,"46.22937,7.88269"
2658512,Stalden,CH,"46.23341,7.87273"
2658513,Staffelbach,CH,"47.283951,8.04208"
2658518,Stäfa,CH,"47.242538,8.72342"
2658521,Stabio,CH,"45.85099,8.93918"
2658524,Spreitenbach,CH,"47.420158,8.36301"
2658528,Splügen,CH,"46.553101,9.3231"
