Station,Date,tre200s0,rre150z0_x,sre000z0,gre000z0,ure200s0,tde200s0,dkl010z0,fu3010z0,fu3010z1,prestas0,pp0qffs0,pp0qnhs0,ppz850s0,ppz700s0,dv1towz0,fu3towz0,fu3towz1,ta1tows0,uretows0,tdetows0,Kanton,Niederschlag
TAE,2024-03-07 12:50,4.70,0.00,0.00,98.00,77.80,1.20,64.00,6.10,11.50,954.20,1019.00,1017.60,-,-,-,-,-,-,-,-,TG,
COM,2024-03-07 12:50,11.10,0.00,0.00,280.00,40.40,-1.80,165.00,11.50,19.80,947.80,1015.10,1015.30,-,-,-,-,-,-,-,-,TI,
ABO,2024-03-07 12:50,1.20,0.00,10.00,704.00,82.10,-1.50,72.00,9.40,15.80,864.90,-,1014.50,1465.50,-,-,-,-,-,-,-,BE,
AIG,2024-03-07 12:50,9.70,0.00,10.00,598.00,54.70,1.00,334.00,11.50,21.20,971.30,1016.80,1016.50,-,-,-,-,-,-,-,-,VD,
ALT,2024-03-07 12:50,5.60,0.00,0.00,319.00,69.00,0.40,337.00,7.60,12.20,965.90,1018.90,1017.80,-,-,-,-,-,-,-,-,UR,
ARH,2024-03-07 12:50,6.40,0.00,0.00,263.00,89.40,4.80,275.00,10.40,13.70,970.60,1018.70,1017.70,-,-,-,-,-,-,-,-,SG,
AND,2024-03-07 12:50,6.80,0.00,10.00,625.00,65.50,0.80,201.00,3.60,7.90,901.50,-,1014.90,1469.10,-,-,-,-,-,-,-,GR,
ANT,2024-03-07 12:50,4.40,0.00,10.00,704.00,51.40,-4.70,227.00,16.90,22.70,853.20,-,1014.30,1466.30,-,-,-,-,-,-,-,UR,
ARO,2024-03-07 12:50,0.40,0.00,10.00,755.00,66.70,-5.10,80.00,4.00,8.30,807.00,-,1013.30,1459.90,-,-,-,-,-,-,-,GR,
RAG,2024-03-07 12:50,9.50,0.00,10.00,628.00,54.60,0.80,297.00,11.90,20.90,958.00,1016.80,1016.50,-,-,-,-,-,-,-,-,SG,
BAN,2024-03-07 12:50,-,-,0.00,157.00,-,-,-,-,-,-,-,-,-,-,64.00,4.00,9.40,-0.30,94.80,-1.00,BE,
BAS,2024-03-07 12:50,9.30,0.00,10.00,692.00,61.60,2.30,104.00,10.40,20.50,980.20,1018.30,1017.90,-,-,-,-,-,-,-,-,BL,
LAT,2024-03-07 12:50,2.50,0.00,10.00,659.00,61.70,-4.10,135.00,1.40,3.60,-,-,-,-,-,-,-,-,-,-,-,GR,
BER,2024-03-07 12:50,4.90,0.00,0.00,216.00,73.90,0.60,32.00,4.30,7.20,952.30,1018.80,1017.40,-,-,-,-,-,-,-,-,BE,
BEZ,2024-03-07 12:50,6.90,0.00,0.00,180.00,73.10,2.40,97.00,4.30,10.10,979.60,1019.20,1018.40,-,-,-,-,-,-,-,-,AG,
BIA,2024-03-07 12:50,13.20,0.00,0.00,254.00,37.30,-1.00,-,-,-,982.20,1015.20,1015.30,-,-,-,-,-,-,-,-,TI,0.00
BIN,2024-03-07 12:50,3.50,0.00,-,-,71.00,-1.30,229.00,2.50,5.00,-,-,-,-,-,-,-,-,-,-,-,VS,
BIZ,2024-03-07 12:50,5.40,0.00,0.00,206.00,89.30,3.80,54.00,11.50,17.60,957.80,1018.80,1017.60,-,-,-,-,-,-,-,-,TG,
BIV,2024-03-07 12:50,1.10,0.00,-,-,58.40,-6.10,213.00,7.20,14.40,-,-,-,-,-,-,-,-,-,-,-,GR,
BIE,2024-03-07 12:50,8.30,0.00,10.00,714.00,59.00,0.80,63.00,7.60,14.40,936.30,-,1016.10,1476.40,-,-,-,-,-,-,-,VD,
BLA,2024-03-07 12:50,4.30,0.00,10.00,653.00,37.00,-9.10,70.00,3.60,7.60,842.30,-,1014.10,1464.70,-,-,-,-,-,-,-,VS,
BOL,2024-03-07 12:50,6.40,0.00,10.00,658.00,70.30,1.40,77.00,11.50,19.80,920.60,-,1015.60,1470.80,-,-,-,-,-,-,-,BE,
BOU,2024-03-07 12:50,6.50,-,-,-,66.50,0.70,311.00,7.90,9.40,972.50,1017.70,1016.90,-,-,-,-,-,-,-,-,VS,
BRZ,2024-03-07 12:50,-,0.00,-,-,-,-,216.00,7.20,9.40,950.20,-,1016.80,-,-,-,-,-,-,-,-,BE,
BUS,2024-03-07 12:50,6.00,0.00,0.00,101.00,76.30,2.20,69.00,3.20,8.30,972.10,1019.00,1018.00,-,-,-,-,-,-,-,-,AG,
BUF,2024-03-07 12:50,1.20,0.00,10.00,688.00,56.80,-6.40,282.00,11.20,17.30,798.20,-,1013.50,1459.90,-,-,-,-,-,-,-,GR,
FRE,2024-03-07 12:50,-0.10,0.00,0.00,343.00,95.80,-0.70,113.00,7.60,14.40,878.30,-,1015.30,1468.20,-,-,-,-,-,-,-,VD,
CEV,2024-03-07 12:50,13.50,0.00,5.00,570.00,39.50,0.00,208.00,17.30,25.60,965.30,1014.60,1015.10,-,-,-,-,-,-,-,-,TI,
CHZ,2024-03-07 12:50,5.60,0.00,0.00,158.00,82.50,2.90,206.00,3.20,8.30,965.70,1019.20,1018.00,-,-,-,-,-,-,-,-,ZG,
CHA,2024-03-07 12:50,-2.00,0.00,0.00,632.00,100.00,-2.00,133.00,18.00,22.30,836.10,-,1013.70,1464.20,-,-,-,-,-,-,-,BE,
CHM,2024-03-07 12:50,0.00,0.00,0.00,205.00,94.90,-0.70,103.00,16.90,25.90,885.70,-,1015.20,1465.30,-,-,-,-,-,-,-,NE,
CHU,2024-03-07 12:50,10.30,0.00,10.00,642.00,47.10,-0.50,186.00,4.30,9.00,950.30,1015.70,1015.70,-,-,-,-,-,-,-,-,GR,
