id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
06601,Basel / Binningen,CH,BS,06601,,47.5411,7.5836,316.0,Europe/Zurich,,,1901-01-01,2024-04-24,1901-01-01,2022-01-01
06604,Neuchatel,CH,NE,06604,LSGN,47.0,6.95,485.0,Europe/Zurich,1982-01-14,2024-04-22,1990-08-26,2022-03-28,2007-01-01,2020-01-01
06605,Chasseral / Nods,CH,BE,06605,,47.1317,7.0544,1599.0,Europe/Zurich,,,,,,
06606,Cressier / Le Landeron,CH,NE,06606,,47.0475,7.0592,431.0,Europe/Zurich,,,,,,
06609,Le Moleson / Moléson,CH,FR,06609,,46.5461,7.0178,1974.0,Europe/Zurich,,,,,,
06610,Payerne,CH,VD,06610,LSMP,46.8167,6.95,490.0,Europe/Zurich,2015-09-03,2024-05-01,1964-08-01,2024-04-22,1964-01-01,2022-01-01
06612,La Chaux-De-Fonds,CH,NE,06612,,47.0833,6.8,1018.0,Europe/Zurich,,,,,,
06613,Emmen,CH,LU,06613,LSME,47.0903,8.3028,427.0,Europe/Zurich,2005-07-27,2024-05-01,2005-09-14,2022-04-25,2016-01-01,2022-01-01
06614,Meiringen  / Unterbach,CH,BE,06614,LSMM,46.74,8.1061,577.0,Europe/Zurich,2005-07-27,2024-05-01,2005-08-28,2022-04-25,2016-01-01,2022-01-01
06616,Fahy,CH,JU,06616,,47.4333,6.95,596.0,Europe/Zurich,,,,,,
06619,Fretaz La / Vugelles,CH,VD,06619,,46.8406,6.5764,1205.0,Europe/Zurich,,,,,,
06620,Schaffhausen / Neuhausen,CH,SH,06620,,47.6897,8.62,438.0,Europe/Zurich,,,,,,
06621,Guttingen / Güttingen,CH,TG,06621,,47.6017,9.2794,440.0,Europe/Zurich,,,,,,
06623,Salen-reutenen,CH,TG,06623,,47.6511,9.0239,718.0,Europe/Zurich,,,,,,
06624,Hallau,CH,SH,06624,,47.6972,8.4706,419.0,Europe/Zurich,,,,,,
06625,Fribourg Posieux,CH,FR,06625,,46.7714,7.1136,646.0,Europe/Zurich,,,,,,
06626,Goesgen / Däniken,CH,SO,06626,,47.3631,7.9736,380.0,Europe/Zurich,,,,,,
06628,Plaffeien-Oberschrot,CH,FR,06628,,46.75,7.2667,1042.0,Europe/Zurich,,,,,,
06629,Muehleberg / Stockeren / Allenlüften,CH,BE,06629,,46.9522,7.2831,775.0,Europe/Zurich,,,,,,
06630,Bern-Belp,CH,BE,06630,,46.9167,7.5,510.0,Europe/Zurich,,,,,,
06631,Bern-Liebefeld / Rütti,CH,BE,06631,,46.9908,7.4639,553.0,Europe/Zurich,,,,,2018-01-01,2021-01-01
06632,Grenchen,CH,SO,06632,LSZG,47.1667,7.4,430.0,Europe/Zurich,2004-05-10,2024-05-01,2010-11-27,2022-04-25,2013-01-01,2022-01-01
06633,Buchs-Suhr,CH,AG,06633,,47.3844,8.0794,387.0,Europe/Zurich,,,,,,
06635,Koppigen / Oeschberg,CH,BE,06635,,47.1189,7.6056,484.0,Europe/Zurich,,,,,,
06636,Muehleberg / Buttenried,CH,BE,06636,,46.9733,7.2781,480.0,Europe/Zurich,,,,,,
06637,Meiringen / Hausen,CH,BE,06637,,46.7322,8.1692,589.0,Europe/Zurich,,,,,,
06638,Langnau I.e. / Bärau,CH,BE,06638,,46.9397,7.8064,745.0,Europe/Zurich,,,,,,
06639,Napf,CH,LU,06639,,47.0,7.9333,1407.0,Europe/Zurich,,,,,,
06641,Moehlin / Wallbach,CH,BW,06641,,47.5722,7.8778,344.0,Europe/Zurich,,,,,,
06643,Wynau,CH,BE,06643,,47.25,7.7833,422.0,Europe/Zurich,,,,,,
06645,Ruenenberg / Rünenberg,CH,BL,06645,,47.4344,7.8794,611.0,Europe/Zurich,,,,,,
06646,Beznau (kkw),CH,AG,06646,,47.5572,8.2333,325.0,Europe/Zurich,,,,,,
06647,Psi Wuerenlingen / Beznau,CH,AG,06647,,47.5383,8.2294,334.0,Europe/Zurich,,,,,,
06648,Egolzwil / Wauwil,CH,LU,06648,,47.1794,8.0047,521.0,Europe/Zurich,,,,,,
06650,Luzern / Kriens,CH,LU,06650,,47.0364,8.3008,454.0,Europe/Zurich,,,,,,
06651,Schuepfheim / Landbrugg,CH,LU,06651,,46.9469,8.0122,742.0,Europe/Zurich,,,,,,
06655,Engelberg,CH,OW,06655,,46.8219,8.4106,1036.0,Europe/Zurich,,,,,,
06657,Giswil,CH,OW,06657,,46.8167,8.1667,489.0,Europe/Zurich,,,,,,
06660,Zurich Town / Ville.,CH,ZH,06660,,47.3833,8.5667,556.0,Europe/Zurich,,,1901-01-01,2024-04-24,1901-01-01,2022-01-01
06664,Reckenholz / Bärenbohl,CH,ZH,06664,,47.4278,8.5178,444.0,Europe/Zurich,,,,,,
06666,Leibstadt,CH,AG,06666,,47.5972,8.1883,341.0,Europe/Zurich,,,,,,
06669,Laegern,CH,ZH,06669,,47.4833,8.4,868.0,Europe/Zurich,,,,,,
06670,Zurich-Kloten,CH,ZH,06670,LSZH,47.4833,8.5333,436.0,Europe/Zurich,1955-01-01,2024-05-01,1973-01-22,2022-04-25,2000-01-01,2022-01-01
06672,Altdorf,CH,UR,06672,,46.8667,8.6333,449.0,Europe/Zurich,,,,,,
06673,Wadenswil / Eichmüli,CH,ZH,06673,,47.2206,8.6778,485.0,Europe/Zurich,,,,,,
06674,Cham,CH,ZG,06674,,47.1883,8.4656,440.0,Europe/Zurich,,,,,,
06675,Einsiedeln / Birchli,CH,SZ,06675,,47.1331,8.7564,910.0,Europe/Zurich,,,,,,
06676,Oberaegeri / Oberägeri,CH,ZG,06676,,47.1336,8.6081,724.0,Europe/Zurich,,,,,,
06678,Bischofszell / Sittertal,CH,TG,06678,,47.4975,9.2347,470.0,Europe/Zurich,,,,,,
